,Date,Constant,Mkt
"339-1",1927-08-17,0.028025652400203223,0.65631561650818926
"340-1",1927-08-18,0.027967295257834368,0.65663698452285413
"341-1",1927-08-19,0.027911987131997586,0.65698842699355575
"342-1",1927-08-20,0.027854839634041235,0.65724915477746693
"343-1",1927-08-22,0.027798623716169778,0.6576170850795735
"344-1",1927-08-23,0.027743128164650889,0.65806791226652239
"345-1",1927-08-24,0.027685519637698528,0.65848400334205515
"346-1",1927-08-25,0.027626738658454521,0.65882299662877764
"347-1",1927-08-26,0.02756839015802685,0.65916483379756541
"348-1",1927-08-27,0.027511658923720844,0.65962365347136875
"349-1",1927-08-29,0.027457311998386209,0.65999624044899896
"350-1",1927-08-30,0.02740007847592995,0.66039729983316309
"351-1",1927-08-31,0.027338685725383675,0.66083938442038015
"352-1",1927-09-01,0.02727775432771299,0.66120714210089448
"353-1",1927-09-02,0.027220386821673406,0.66251231332488481
"354-1",1927-09-03,0.027159007302911996,0.66305240420911959
"355-1",1927-09-06,0.027095388029069287,0.663224292127922
"356-1",1927-09-07,0.027028701676677602,0.6624785174344151
"357-1",1927-09-08,0.026960797949808962,0.66155262626005751
"358-1",1927-09-09,0.026893886051510288,0.66062999610494011
"359-1",1927-09-10,0.026829737317122172,0.65913501297495347
"360-1",1927-09-12,0.026762941530080377,0.657265791931816
"361-1",1927-09-13,0.026692437604781519,0.65583548057572183
"362-1",1927-09-14,0.02662620216739087,0.65621559411411434
"363-1",1927-09-15,0.02655413776506399,0.65600159351942167
"364-1",1927-09-16,0.026483917555035201,0.65593311678032973
"365-1",1927-09-17,0.026417078031549555,0.65595356253607828
"366-1",1927-09-19,0.026347654337481107,0.65622040557974193
"367-1",1927-09-20,0.026277132118049371,0.65660282705956352
"368-1",1927-09-21,0.026205734501713433,0.65682694725339918
"369-1",1927-09-22,0.026134100330504822,0.65706273392894077
"370-1",1927-09-23,0.026064309787815002,0.65659537032488913
"371-1",1927-09-24,0.025994598674042319,0.65614158668839684
"372-1",1927-09-26,0.025927033744431647,0.65614646962363643
"373-1",1927-09-27,0.025858502530921753,0.65644046240495091
"374-1",1927-09-28,0.025788596348239535,0.65663499886553833
"375-1",1927-09-29,0.025717272713893034,0.65700663126486558
"376-1",1927-09-30,0.025645285662403861,0.6573411825856238
"377-1",1927-10-01,0.025569136559258625,0.65596519000044473
"378-1",1927-10-03,0.025495923333976878,0.65506218616551692
"379-1",1927-10-04,0.025421075849445245,0.65401947762104284
"380-1",1927-10-05,0.025345420851240384,0.65308296959164902
"381-1",1927-10-06,0.025274810528189379,0.65166545837903089
"382-1",1927-10-07,0.025205065884823054,0.65031625731257281
"383-1",1927-10-08,0.025136211262226461,0.64875051102276271
"384-1",1927-10-10,0.025069344360476618,0.64697563194943797
"385-1",1927-10-11,0.025002955604717925,0.6451205763118153
"386-1",1927-10-13,0.02493615144510981,0.64326005747223858
"387-1",1927-10-14,0.024871666224636119,0.64192562274643361
"388-1",1927-10-15,0.024803242919187334,0.64060413599496802
"389-1",1927-10-17,0.024733840415625701,0.63927621026002768
"390-1",1927-10-18,0.024659554313895007,0.63997143047705163
"391-1",1927-10-19,0.024589213740385613,0.64110771388813514
